"BOROUGH
","NEIGHBORHOOD
","BUILDING CLASS CATEGORY
","TAX CLASS AT PRESENT
","BLOCK
","LOT
","EASE-MENT
","BUILDING CLASS AT PRESENT
","ADDRESS
","APARTMENT NUMBER
","ZIP CODE
","RESIDENTIAL UNITS
","COMMERCIAL UNITS
","TOTAL UNITS
","LAND SQUARE FEET
","GROSS SQUARE FEET
","YEAR BUILT
","TAX CLASS AT TIME OF SALE
","BUILDING CLASS AT TIME OF SALE
","SALE PRICE
","SALE DATE
"
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,117, ,B1,1538 WASHINGTON AVENUE                   ,            ,10457, 2 , -   , 2 ," 2,000 "," 2,400 ",1993,1,B1," 493,000 ",4/13/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2912,151, ,B1,519 EAST 171 STREET                      ,            ,10457, 2 , -   , 2 ," 2,000 "," 2,400 ",1993,1,B1, -   ,10/24/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,2929,137, ,B1,541 CLAREMONT PARKWAY                    ,            ,10457, 2 , -   , 2 ," 3,664 "," 2,394 ",1995,1,B1," 470,000 ",7/20/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3030,149, ,S2,2260 WEBSTER AVENUE                      ,            ,10457, 2 , 1 , 3 ," 1,620 "," 3,240 ",1931,1,S2," 550,000 ",3/11/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3035,130, ,B1,462 EAST 179 STREET                      ,            ,10457, 2 , -   , 2 ," 1,790 "," 2,340 ",1998,1,B1, -   ,12/5/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3035,140, ,B1,1983 WASHINGTON AVENUE                   ,            ,10457, 2 , -   , 2 ," 4,124 "," 2,340 ",1998,1,B1," 445,000 ",8/30/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,6, ,B1,440 EAST 185 STREET                      ,            ,10458, 2 , -   , 2 ," 1,500 "," 3,200 ",1997,1,B1," 422,500 ",6/10/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,42, ,B1,440 EAST 186 STREET                      ,            ,10458, 2 , -   , 2 ," 2,000 "," 2,112 ",1901,1,B1, -   ,6/30/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3039,130, ,B1,469A EAST 184 STREET                     ,            ,10458, 2 , -   , 2 ," 1,016 "," 1,050 ",2006,1,B1," 518,000 ",8/3/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3045,16, ,B3,2060 BATHGATE AVE                        ,            ,10457, 2 , -   , 2 ," 1,429 "," 1,872 ",1910,1,B3," 250,000 ",11/17/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3046,7, ,B2,2038 WASHINGTON AVENUE                   ,            ,10457, 2 , -   , 2 ," 3,732 "," 2,901 ",2000,1,B2," 494,000 ",9/29/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3046,7, ,B2,2038 WASHINGTON AVENUE                   ,            ,10457, 2 , -   , 2 ," 3,732 "," 2,901 ",2000,1,B2, -   ,4/13/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3047,9, ,B9,2122 WASHINGTON AVENUE                   ,            ,10457, 2 , -   , 2 ," 1,258 "," 2,340 ",1901,1,B9," 240,000 ",11/14/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3048,12, ,B2,2174 BATHGATE AVENUE                     ,            ,10457, 2 , -   , 2 ," 4,973 "," 4,375 ",1901,1,B2," 680,000 ",8/5/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3048,29, ,S2,542 EAST 182 STREET                      ,            ,10457, 2 , 1 , 3 ," 1,612 "," 2,778 ",1901,1,S2, -   ,3/22/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3050,85, ,B1,2241 BATHGATE AVENUE                     ,            ,10457, 2 , -   , 2 ," 1,562 "," 3,382 ",2004,1,B1," 430,000 ",2/3/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3050,93, ,B2,2238 BASSFORD AVENUE                     ,            ,10457, 2 , -   , 2 ," 1,301 "," 2,300 ",1901,1,B2," 495,000 ",4/13/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,5, ,B9,509 EAST 183 STREET                      ,            ,10458, 2 , -   , 2 ," 1,420 "," 1,870 ",1901,1,B9," 290,000 ",12/2/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,5, ,B9,509 EAST 183 STREET                      ,            ,10458, 2 , -   , 2 ," 1,420 "," 1,870 ",1901,1,B9," 165,000 ",9/2/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,5, ,B9,509 EAST 183 STREET                      ,            ,10458, 2 , -   , 2 ," 1,420 "," 1,870 ",1901,1,B9, -   ,9/2/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,6, ,B9,2304 BASSFORD AVE                        ,            ,10458, 2 , -   , 2 ," 2,129 "," 2,960 ",1901,1,B9, -   ,6/30/2016
2,BATHGATE                 ,02  TWO FAMILY DWELLINGS                    ,1,3053,109, ,B3,2315 BASSFORD AVENUE                     ,            ,10458, 2 , -   , 2 ," 1,202 "," 2,949 ",1901,1,B3," 480,000 ",3/17/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3031,145, ,C0,412 EAST 187 STREET                      ,            ,10458, 3 , -   , 3 ," 1,784 "," 3,070 ",2004,1,C0, -   ,12/29/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3031,145, ,C0,412 E 187TH STREET                       ,            ,10458, 3 , -   , 3 ," 1,784 "," 3,070 ",2004,1,C0," 545,000 ",10/14/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3038,124, ,C0,466 EAST 183RD ST                        ,            ,10458, 3 , -   , 3 ," 1,204 "," 2,889 ",2004,1,C0, -   ,8/25/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3038,124, ,C0,466 EAST 183 STREET                      ,            ,10458, 3 , -   , 3 ," 1,204 "," 2,889 ",2004,1,C0," 390,000 ",6/30/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3039,61, ,C0,2355 WASHINGTON AVENUE                   ,            ,10458, 3 , -   , 3 ," 1,638 "," 4,320 ",2007,1,C0," 350,000 ",6/27/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3041,8, ,C0,446 CYRUS PLACE                          ,            ,10458, 3 , -   , 3 ," 2,320 "," 2,008 ",1910,1,C0, -   ,10/12/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3047,29, ,C0,2108 BATHGATE AVE                        ,            ,10457, 3 , -   , 3 ," 1,650 "," 4,422 ",2005,1,C0," 450,000 ",2/1/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3053,120, ,C0,504 EAST 184 STREET                      ,            ,10458, 3 , -   , 3 ," 1,334 "," 3,915 ",2005,1,C0, -   ,9/1/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3053,121, ,C0,506 EAST 184 STREET                      ,            ,10458, 3 , -   , 3 ," 1,269 "," 3,915 ",2005,1,C0, -   ,9/1/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3053,121, ,C0,506 EAST 184 STREET                      ,            ,10458, 3 , -   , 3 ," 1,269 "," 3,915 ",2005,1,C0," 351,000 ",5/11/2016
2,BATHGATE                 ,03  THREE FAMILY DWELLINGS                  ,1,3053,122, ,C0,508 EAST 184 STREET                      ,            ,10458, 3 , -   , 3 ," 1,269 "," 3,915 ",2005,1,C0, -   ,9/1/2016
2,BATHGATE                 ,05  TAX CLASS 1 VACANT LAND                 ,1B,3036,35, ,V0,2087 WASHINGTON AVENUE                   ,            ,10457, -   , -   , -   ," 2,099 ", -   ,0,1,V0, -   ,7/13/2016
2,BATHGATE                 ,06  TAX CLASS 1 - OTHER                     ,1,3050,100, ,G0,2250 BASSFORD                            ,            ,10457, -   , -   , -   ," 2,616 ", -   ,1950,1,G0," 275,000 ",3/17/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,2912,1, ,C7,481 EAST 171 STREET                      ,            ,10457, 13 , 2 , 15 ," 2,964 "," 13,685 ",1925,2,C7, -   ,2/22/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,2912,2, ,C1,1514 WASHINGTON AVENUE                   ,            ,10457, 11 , -   , 11 ," 2,600 "," 11,784 ",1925,2,C1, -   ,2/22/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,2924,6, ,C1,1874 BATHGATE AVENUE                     ,            ,10457, 7 , -   , 7 ," 1,628 "," 5,184 ",1931,2,C1," 675,000 ",4/26/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,2927,54, ,C1,1473 FULTON AVENUE                       ,            ,10456, 20 , -   , 20 ," 5,625 "," 22,500 ",1912,2,C1," 3,682,769 ",3/1/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3031,19, ,C1,2338 WEBSTER AVENUE                      ,            ,10458, 8 , -   , 8 ," 3,002 "," 8,884 ",1931,2,C1," 1,315,000 ",9/19/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3031,19, ,C1,2338 WEBSTER AVE                         ,            ,10458, 8 , -   , 8 ," 3,002 "," 8,884 ",1931,2,C1," 1,075,000 ",4/15/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3031,60, ,C1,4589 PARK AVENUE                         ,            ,10458, 25 , -   , 25 ," 4,779 "," 18,975 ",1912,2,C1," 3,443,023 ",3/1/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3031,63, ,C1,4585 PARK AVENUE                         ,            ,10458, 25 , -   , 25 ," 4,787 "," 18,975 ",1912,2,C1," 3,364,440 ",3/1/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3032,53, ,C1,4687 PARK AVE                            ,            ,10458, 8 , -   , 8 ," 4,025 "," 9,600 ",1910,2,C1, -   ,5/31/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3032,58, ,C7,413 EAST 187 STREET                      ,            ,10458, 7 , 1 , 8 ," 3,325 "," 8,800 ",1910,2,C7," 1,270,000 ",5/16/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3035,23, ,C1,446 E 179 STREET                         ,            ,10457, 8 , -   , 8 ," 2,805 "," 8,712 ",1910,2,C1," 850,000 ",3/14/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2A,3039,67, ,C3,461 EAST 185 STREET                      ,            ,10458, 4 , -   , 4 ," 2,500 "," 3,786 ",1910,2,C3, -   ,6/30/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3040,7, ,C7,444 EAST 187 STREET                      ,            ,10458, 28 , 2 , 30 ," 5,000 "," 22,500 ",1926,2,C7," 4,608,457 ",3/1/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3041,1, ,C7,441 EAST 187 STREET                      ,            ,10458, 18 , 2 , 20 ," 3,400 "," 15,300 ",1910,2,C7," 3,103,383 ",3/1/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3048,20, ,C1,2190 BATHGATE AVENUE                     ,            ,10457, 7 , -   , 7 ," 2,417 "," 5,400 ",1931,2,C1," 880,000 ",12/21/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3050,102, ,C1,2254 BASSFORD AVENUE                     ,            ,10457, 8 , -   , 8 ," 2,727 "," 8,820 ",1910,2,C1, -   ,4/6/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2,3051,24, ,C7,2280 BATHGATE AVENUE                     ,            ,10457, 20 , 1 , 21 ," 9,464 "," 16,825 ",1911,2,C7, -   ,4/6/2016
2,BATHGATE                 ,07  RENTALS - WALKUP APARTMENTS             ,2B,3053,71, ,C1,471 EAST 184 STREET                      ,            ,10458, 8 , -   , 8 ," 2,090 "," 6,267 ",2015,2,C1, -   ,8/24/2016
2,BATHGATE                 ,08  RENTALS - ELEVATOR APARTMENTS           ,2,2903,3, ,D9,445 EAST 171 STREET                      ,            ,10457, 46 , -   , 46 ," 12,520 "," 45,046 ",2001,2,D9," 1,982,283 ",3/8/2016
2,BATHGATE                 ,10  COOPS - ELEVATOR APARTMENTS             ,2,3044,40, ,D4,"495 E 178TH STREET, 2H                   ",            ,10457, -   , -   , -   , -   , -   ,1941,2,D4," 60,000 ",12/1/2016
2,BATHGATE                 ,14  RENTALS - 4-10 UNIT                     ,2B,3052,27, ,S9,2324 BATHGATE AVE                        ,            ,10458, 4 , 3 , 7 ," 2,390 "," 6,000 ",1931,2,S9," 708,000 ",3/14/2016
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,2909,28, ,K2,1891 WASHINGTON AVENUE                   ,            ,10457, -   , 1 , 1 ," 1,858 "," 3,198 ",1925,4,K2, -   ,7/6/2016
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,2909,29, ,K1,1889 WASHINGTON AVENUE                   ,            ,10457, -   , 1 , 1 ," 1,451 "," 1,451 ",1952,4,K1, -   ,7/6/2016
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3030,156, ,K1,2276 WEBSTER AVENUE                      ,            ,10457, -   , 2 , 2 ," 4,024 "," 1,584 ",1931,4,K1, -   ,11/21/2016
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3030,156, ,K1,2276-80 WEBSTER AVE                      ,            ,10457, -   , 2 , 2 ," 4,024 "," 1,584 ",1931,4,K1," 750,000 ",8/30/2016
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3032,19, ,K4,2458 WEBSTER AVENUE                      ,            ,10458, -   , 3 , 3 ," 8,774 "," 15,500 ",1931,4,K4, -   ,8/2/2016
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3032,29, ,K1,2472 WEBSTER AVENUE                      ,            ,10458, -   , 1 , 1 ," 1,546 ", 750 ,1931,4,K1, -   ,3/3/2016
2,BATHGATE                 ,22  STORE BUILDINGS                         ,4,3043,84, ,K1,505-507 EAST TREMONT AVENUE              ,            ,10457, -   , 2 , 2 ," 3,273 "," 4,253 ",2005,4,K1," 1,625,000 ",6/28/2016
2,BATHGATE                 ,27  FACTORIES                               ,4,3029,37, ,F5,420 EAST 180TH                           ,            ,10457, -   , 1 , 1 ," 1,578 "," 3,077 ",1997,4,F5," 375,000 ",12/14/2016
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,2918,29, ,G7,1885 BATHGATE AVENUE                     ,            ,10457, -   , -   , -   ," 3,070 ", -   ,0,4,G7," 2,500,000 ",12/15/2016
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3031,54, ,G7,4607 PARK AVENUE                         ,            ,10458, -   , -   , -   ," 3,954 ", -   ,0,4,G7," 2,150,000 ",3/22/2016
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3031,56, ,G7,4603 PARK AVENUE                         ,            ,10458, -   , -   , -   ," 3,882 ", -   ,0,4,G7, -   ,3/22/2016
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3031,57, ,G7,N/A PARK AVENUE                          ,            ,10458, -   , -   , -   ," 3,817 ", -   ,1912,4,G7, -   ,3/22/2016
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3031,59, ,G7,N/A PARK AVENUE                          ,            ,10458, -   , -   , -   ," 3,745 ", -   ,0,4,G7, -   ,3/22/2016
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3032,27, ,G7,2470 WEBSTER AVENUE                      ,            ,10458, -   , -   , -   ," 2,053 ", -   ,0,4,G7," 1,300,000 ",3/3/2016
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3045,44, ,GU,4329 3 AVENUE                            ,            ,10457, -   , 1 , 1 ," 9,936 "," 2,250 ",1989,4,GU, -   ,1/28/2016
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3046,30, ,G7,480 EAST 180 STREET                      ,            ,10457, -   , -   , -   ," 3,804 ", -   ,0,4,G7," 295,000 ",7/26/2016
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3048,14, ,G7,2176 BATHGATE AVENUE                     ,            ,10457, -   , -   , -   ," 5,530 ", -   ,0,4,G7," 400,000 ",2/3/2016
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,  ,3051,23, ,  ,3 AVENUE                                 ,            ,10457, -   , -   , -   , -   , -   ,0,4,G7, -   ,3/30/2016
2,BATHGATE                 ,29  COMMERCIAL GARAGES                      ,4,3051,34, ,G1,4487 3 AVENUE                            ,            ,10457, -   , 1 , 1 ," 52,666 "," 6,229 ",0,4,G1," 3,564,200 ",6/30/2016
2,BATHGATE                 ,30  WAREHOUSES                              ,4,2908,37, ,E1,1827 WASHINGTON AVENUE                   ,            ,10457, -   , 1 , 1 ," 12,487 "," 11,750 ",1989,4,E1," 1,900,000 ",4/8/2016
2,BATHGATE                 ,30  WAREHOUSES                              ,4,2918,32, ,F9,1873 BATHGATE AVENUE                     ,            ,10457, -   , 1 , 1 ," 3,852 "," 3,852 ",1931,4,E1, -   ,12/15/2016
2,BATHGATE                 ,30  WAREHOUSES                              ,4,2924,7, ,E1,1880 BATHGATE AVENUE                     ,            ,10457, -   , 1 , 1 ," 6,520 "," 6,480 ",1931,4,E1, -   ,7/22/2016
2,BATHGATE                 ,30  WAREHOUSES                              ,4,2924,10, ,E1,1888 BATHGATE AVENUE                     ,            ,10457, -   , 1 , 1 ," 9,240 "," 7,225 ",1990,4,E1, -   ,7/22/2016
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,2899,49, ,V1,412 EAST 175 STREET                      ,            ,10457, -   , -   , -   ," 2,708 ", -   ,0,4,V1," 305,475 ",6/20/2016
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,2900,28, ,V1,4145 PARK AVENUE                         ,            ,10457, -   , -   , -   ," 2,000 ", -   ,0,4,V1," 1,000 ",4/29/2016
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,2900,28, ,V1,4145 PARK AVENUE                         ,            ,10457, -   , -   , -   ," 2,000 ", -   ,0,4,V1," 75,000 ",4/29/2016
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,3028,13, ,V9,1996 WEBSTER AVENUE                      ,            ,0, -   , -   , -   ," 5,945 ", -   ,0,4,V9," 1,200,000 ",10/19/2016
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,3028,13, ,V9,WEBSTER AVENUE                           ,            ,0, -   , -   , -   ," 5,945 ", -   ,0,4,V9," 813,897 ",5/19/2016
2,BATHGATE                 ,31  COMMERCIAL VACANT LAND                  ,4,3048,39, ,V1,4439 3 AVENUE                            ,            ,10457, -   , -   , -   ," 6,388 ", -   ,0,4,V1, -   ,6/30/2016
2,BATHGATE                 ,32  HOSPITAL AND HEALTH FACILITIES          ,4,3053,78, ,I9,2342 WASHINGTON AVENUE                   ,            ,10458, 103 , -   , 103 ," 5,607 "," 17,605 ",1931,4,I9," 2,600,000 ",1/19/2016
2,BATHGATE                 ,37  RELIGIOUS FACILITIES                    ,4,2927,6, ,M1,3752 THIRD AVENUE                        ,            ,10456, -   , 1 , 1 ," 2,500 "," 7,000 ",1931,4,M1," 400,000 ",10/28/2016
2,BATHGATE                 ,41  TAX CLASS 4 - OTHER                     ,4,2900,1, ,Z9,1816 WEBSTER AVENUE                      ,            ,10457, -   , -   , -   ," 3,082 ", -   ,0,4,Z9," 300,000 ",11/3/2016
2,BATHGATE                 ,41  TAX CLASS 4 - OTHER                     ,4,2909,26, ,Z9,1893 WASHINGTON AVENUE                   ,            ,10457, -   , -   , -   ," 2,673 ", -   ,0,4,Z9," 1,600,000 ",7/6/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4707,20, ,A5,1139 EAST 212TH STREET                   ,            ,10469, 1 , -   , 1 ," 3,203 "," 1,890 ",1945,1,A5," 365,000 ",3/15/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4707,59, ,A5,1108 EAST 213TH STREET                   ,            ,10469, 1 , -   , 1 ," 1,494 "," 1,512 ",1950,1,A5," 382,000 ",7/29/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4707,60, ,A5,1110 EAST 213 STREET                     ,            ,10469, 1 , -   , 1 ," 1,614 "," 1,512 ",1950,1,A5," 80,000 ",6/29/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4709,50, ,A5,1142 EAST 215 STREET                     ,            ,10469, 1 , -   , 1 ," 1,710 "," 1,732 ",1945,1,A5," 393,000 ",3/22/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4710,1, ,A5,1127 EAST 215 STREET                     ,            ,10469, 1 , -   , 1 ," 2,759 "," 1,998 ",1945,1,A5," 400,000 ",12/8/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4723,3, ,A2,3483 MICKLE AVENUE                       ,            ,10469, 1 , -   , 1 ," 1,918 "," 1,024 ",1945,1,A2," 299,000 ",6/17/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4723,5, ,A2,3479 MICKLE AVENUE                       ,            ,10469, 1 , -   , 1 ," 1,918 "," 1,024 ",1945,1,A2," 556,247 ",6/6/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4723,6, ,A2,3477 MICKLE AVE                          ,            ,10469, 1 , -   , 1 ," 1,918 "," 1,024 ",1945,1,A2," 328,570 ",5/5/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4724,40, ,S1,3448 MICKLE AVENUE                       ,            ,10469, 1 , 1 , 2 ," 2,465 "," 2,112 ",1950,1,S1," 326,000 ",12/20/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4724,40, ,S1,3448 MICKLE AVENUE                       ,            ,10469, 1 , 1 , 2 ," 2,465 "," 2,112 ",1950,1,S1," 359,623 ",2/22/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4724,55, ,A9,3482 MICKLE AVENUE                       ,            ,10469, 1 , -   , 1 ," 2,662 "," 2,100 ",1950,1,A9, -   ,9/1/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4728,106, ,A5,3416 KINGSLAND AVENUE                    ,            ,10469, 1 , -   , 1 ," 1,740 "," 1,224 ",1960,1,A5," 433,000 ",4/5/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4730,15, ,A2,3427 WICKHAM AVENUE                      ,            ,10469, 1 , -   , 1 ," 2,375 "," 2,565 ",1920,1,A2," 415,000 ",4/27/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4730,24, ,A2,3411 WICKHAM AVENUE                      ,            ,10469, 1 , -   , 1 ," 4,750 "," 2,046 ",1899,1,A2, -   ,3/31/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4733,16, ,A5,3337 BOUCK AVENUE                        ,            ,10469, 1 , -   , 1 ," 1,900 "," 1,681 ",1940,1,A5," 350,000 ",12/29/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4733,16, ,A5,3337 BOUCK AVENUE                        ,            ,10469, 1 , -   , 1 ," 1,900 "," 1,681 ",1940,1,A5, -   ,6/15/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4733,17, ,A5,3335 BOUCK AVENUE                        ,            ,10469, 1 , -   , 1 ," 1,900 "," 1,567 ",1940,1,A5," 194,688 ",1/28/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4734,12, ,A5,3363 WILSON AVENUE                       ,            ,10469, 1 , -   , 1 ," 2,350 "," 1,799 ",1940,1,A5," 48,550 ",12/9/2016
2,BAYCHESTER               ,01  ONE FAMILY DWELLINGS                    ,1,4734,51, ,A5,3316 BOUCK AVENUE                        ,            ,10469, 1 , -   , 1 ," 1,900 "," 1,567 ",1940,1,A5," 345,000 ",12/29/2016
